gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10	cell_cluster_11	cell_cluster_12
1	orphan-peak-10009	-0.0184782560292275	0.277239165924168	-0.102532667579467	-0.0452929338109152	-0.128792646519005	0.113656419248571	-0.272400941668107	-0.244102546180226	-0.122070686888658	0.0753715443424198	-0.131352386341613	0.0755120391709086	-0.144099848260172
2	orphan-peak-10018	0.0119990469272429	-0.0643574245460383	-0.0122643825497006	0.0096009368101018	-0.0224399279369274	-0.112224280399987	0.00739917038723492	0.0231922434923785	0.201416956579291	-0.0336704177792561	-0.031821286800608	0.213854119663922	0.230658207339326
3	orphan-peak-10025	-0.0657732469193095	-0.0645691522713367	0.0277760090095844	0.037004080773967	-0.0429638488373892	0.00782077103120629	0.0941486886959744	0.22492325271595	-0.0218327061713498	-0.129987129127249	0.0907161927514806	0.121790849685723	0.110309694331391
4	orphan-peak-10045	-0.00291543372541368	0.0653501309201441	-0.0644146810254261	0.065823728828019	0.0334133854565846	-0.0633718849178294	-0.0782554165516698	-0.0522413884509944	-0.0265631376790086	-0.0852258104213793	-0.0634690928998186	0.0182477241883535	0.0129518339673221
5	orphan-peak-10048	0.0331125697371381	-0.0718708202929801	0.0104899898579634	0.0991415406449628	0.0234355895764971	-0.0893676820682648	-0.03677990682213	-0.0938772251120315	0.0521289293039553	-0.0148381011106137	-0.0581774056423163	-0.0782575329442923	-0.0914803717280464
6	orphan-peak-10069	-0.117233417927625	0.345193397503062	-0.112087402081554	0.0584494329811298	-0.100063893026795	-0.121236789230689	-0.100259354590129	-0.124431739934057	-0.0850853740766997	-0.123640373424017	-0.123555287990557	-0.060751010355704	-0.121287005296092
7	orphan-peak-10071	-0.18836884292025	0.541223512278667	-0.237682769846688	0.128816124621435	-0.181532025129693	-0.160935566306955	-0.211325061867768	-0.109308588628971	-0.207176564348966	-0.225536657455209	-0.171109501794838	-0.169575636880713	-0.0422838358333232
8	orphan-peak-10079	-0.483897573742151	1.14701179147157	-0.409356452678298	-0.418431479618066	-0.315650124764257	-0.152923776504935	-0.39693893499447	0.294818244007858	-0.15068173013564	0.246096078385521	-0.218864572129812	-0.493836043290674	-0.382125557555044
9	orphan-peak-10083	-0.964122419461343	-0.347910781199237	-1.11123342263191	0.754081688576241	0.839333729163588	-0.852475476901904	-0.505928843100383	0.376339414089716	1.16373661053372	-0.845725416831459	-0.211176424646198	1.8125968251804	2.527135957353
10	orphan-peak-10201	-0.0277066203519443	-0.107577294858586	-0.154014175663927	-0.0326740655988315	0.268426262656448	0.2723489658393	-0.134319237136552	-0.073159928170311	0.241729931117807	0.393964278098225	0.162484005190324	-0.0334055527228558	0.370924444417447
11	orphan-peak-10218	0.245591243840241	-0.206427252735843	-0.178390618641225	0.163517318194969	0.0281791379177485	0.201697981069855	-0.133759995502128	-0.148064125305016	-0.193920465994138	-0.135400287511695	-0.0832713792451432	-0.176568232309442	-0.0998295390984939
12	orphan-peak-10250	-0.0778095295069854	0.186492995847484	-0.0924518159514416	-0.0347626332865571	0.0832250909018377	0.00469255164661242	-0.0824690683512566	-0.144865374852467	0.0427090412418062	0.0413034823565637	-0.090457271459596	0.0415924678449314	0.391580523386344
