gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10	cell_cluster_11
1	Res-000010	0.00499674974331096	-0.0342577528277145	-0.0413088000424464	-0.0359894786188061	-0.0336421238480465	-0.0300918403244613	0.368679789869721	0.033622139413294	-0.00635054787734887	-0.0373307992555564	-0.0427960099179344	-0.0385589908928296
2	Res-000011	0.0211906411675313	-0.0166492052916487	0.0342947127329697	-0.0275290277624527	-0.0257273289418081	-0.0353871056875344	0.0299570712916982	0.017051376508378	-0.0308023471829937	0.0157413848741616	-0.0314013627519207	-0.0242836171056415
3	Res-000013	-0.057696068010512	-0.0497665649010239	-0.0738204157286852	-0.0551893127696662	-0.0650965175735382	-0.0497115051436014	0.0905196258474534	0.3211363326099	0.681002070838695	0.0551227857429568	-0.000574874240251599	-0.0803192037981502
4	Res-000018	-0.0154810487215892	-0.0300413186675602	-0.0342954481727944	-0.0333811177351871	-0.0224802728419841	-0.021381345582691	-0.035700030198064	0.146750083541138	-0.00245679664544927	0.114571333967879	0.489468835223041	-0.0185930455939168
5	Res-000032	0.00170285418739157	0.0075594690982354	0.00767392837620125	-0.00429631383749537	-0.0182804333651144	-0.0143361361426673	-0.026076872601648	-0.0316487165817369	-0.00917951006752379	-0.0155909857026778	-0.020294004920315	0.3201506333933
6	Res-000038	-0.00496223489356965	-0.00380225765880727	-0.00679918708028113	-0.00617147658191866	-0.00712088762641705	-0.00570935351623082	-0.00123544406581009	0.0995250710129593	0.0172214997661384	-0.00506713159973065	-0.00602398137428817	-0.00655407061348489
7	Res-000061	0.00438510875156507	-0.0120140816521249	-0.0563879727801234	0.171312690434961	-0.0646116496534546	-0.057183654052206	-0.0395982421095887	-0.030435011766873	0.00452087549797447	0.0313643955003379	-0.0568898182606842	0.00505089574065375
8	Res-000064	0.251362976491273	-0.303016595483178	-0.0747144154032464	0.353272350984492	-0.375941941444035	0.0234957287650044	-0.230003541553083	-0.202445519284182	-0.139651880376854	-0.00828139301518072	-0.284598977628514	-0.103206205238355
9	Res-000065	-0.052481327420372	-0.436607147215801	-0.562698960171574	-0.49495864287085	-0.53532433768879	-0.478791036183516	-0.333420308672078	-0.147333858595269	3.20292344970516	-0.507158236865565	-0.387013287097608	-0.507058546692815
10	Res-000074	0.243362269594559	-0.109386579989361	0.457409989930764	-0.330329859027757	-0.314351386045754	-0.346543336501447	-0.26257090317252	-0.12234744921847	-0.170838420657035	-0.251149913996058	-0.13284130720092	0.115884029960246
11	Res-000080	-0.0330014535878623	-0.031575477183808	-0.0264262190149728	-0.0191667441965767	-0.0108460482037011	-0.0263142092606917	-0.0248043353560115	0.0647776976366436	0.488879355838115	0.015965410346151	0.0618589354788248	-0.0199258727152784
12	Res-000085	-0.120877544649639	-0.335262631872031	-0.0202238257612301	-0.145236186059391	1.01648543586025	-0.226978425497712	-0.2442836549943	-0.154106363684985	-0.0994716232600414	-0.163410356997962	-0.205197142189807	0.0857053635390326
13	Res-000090	-0.234287326315261	1.48915550377521	-0.561912119368639	-0.528102101264843	-0.45423363965109	-0.497799485181899	-0.436302619580207	-0.31848866472705	-0.12159557541555	-0.112705065539552	-0.43323400249326	-0.53441856799337
14	Res-000094	-0.138741582152046	0.157692888203098	-0.279538514903185	-0.0302126157013073	-0.20834827298489	-0.21582842078534	-0.0794695014603422	0.142562781017016	1.4998488172492	0.203748205661192	-0.202559191774599	-0.120959779554028
15	Res-000099	-0.105573570572769	0.989929085814916	-0.22545655541193	-0.310918917569149	-0.266163380159296	-0.352482645600683	-0.205341572610778	-0.165236884238107	-0.367257842397853	-0.381618136311717	-0.177500778498614	-0.334387402831131
16	Res-000118	0.0243201812211602	1.10790758607227	0.0894345734266986	-0.636337829909682	-0.681771677273804	-0.757147502091837	-0.557319686642644	-0.281360775681072	-0.145164967852881	-0.506212662358129	-0.328117976748938	-0.383561246595262
17	Res-000119	-0.0466222566497874	0.678931421528626	0.0431693825194118	-0.285233597209559	-0.270790187139035	-0.355374386880114	-0.301145941229212	-0.0931565780122834	-0.116121772115134	-0.203210778450756	-0.0670483981752223	-0.175615047150394
18	Res-000121	-0.00991756812415749	-0.042384484816689	-0.0743054269103254	-0.0723133492095766	-0.0746404310461521	-0.0468708662531966	0.555431156910956	-0.0259822160022547	0.266067495400499	-0.0673258351584956	0.00285206204994345	-0.0725823274130453
19	Res-000140	-0.0134960640651665	-0.0107359488440602	-0.013326339259758	-0.0159386488981061	-0.00354725418324351	0.00707389731285273	-0.0010190920594737	0.199943313310498	0.00142002082041165	-0.0161611901145809	-0.00442636604006658	-0.0110226860619432
