gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10	cell_cluster_11	cell_cluster_12	cell_cluster_13
1	TRINITY-DN100-c1-g1-i5.mrna1	0.0149080205069189	0.00166928176734572	-0.00678181826337175	-0.00676034980681241	-0.006733984003303	-0.00673063295152017	-0.00672951667529018	-0.00664901664564485	0.0393191833201864	-0.00643546913561558	-0.00632857168694045	-0.00631429162322799	-0.00630987297358957	-0.00625347006765697
2	TRINITY-DN10004-c0-g1-i2.mrna1	0.0136850108625515	0.0107908343873846	-0.00468073452006167	-0.00466590648103004	-0.00464769598891879	-0.00464538147164521	-0.00464461047807461	-0.00458901092253076	-0.00446028257652985	-0.00444152312141631	-0.00436769632759055	-0.00435783418742579	-0.00435478257256041	-0.00431582976167834
3	TRINITY-DN10025-c0-g2-i3.mrna1	-0.0144558886794872	-0.0157713983042677	-0.0145590196195976	0.0713492043371953	-0.0152011645171753	-0.00658227343113576	0.0493603613456443	-0.015009915124196	-0.0145903393708364	-0.0145291879471429	-0.01428851246287	-0.0142563597601172	-0.014246410737229	0.00487404050023752
4	TRINITY-DN10032-c0-g1-i1.mrna1	-0.0021491218690028	-0.000590850492342228	0.00214334786210437	-0.00813389040588981	-0.0066830764510947	-0.0070108481848295	-0.00974520520659586	0.0355444591832286	-0.00408753053316147	-0.00931981159920858	-0.00916515526641585	0.0536721612898446	-0.00913810194838599	-0.00905649721606527
5	TRINITY-DN10070-c0-g3-i1.mrna1	-0.0300697470529866	-0.0286049634399296	-0.0277695915567977	0.00951806071203059	-0.0245098198409125	0.163776134456056	-0.0228809164787171	-0.0272296642206959	0.0497606913115071	-0.0263611312242686	0.00118699618240525	0.0180464260489113	-0.0258501266617159	-0.0256205995675818
6	TRINITY-DN10070-c3-g1-i1.mrna1	0.00939717997273278	-0.00438731112903555	-0.0042581390123825	0.0189839465304016	-0.00422807896350795	-0.00422597310640376	-0.00422527162011579	-0.00417468461311782	-0.00405756237769099	-0.00404049434830401	-0.00397332426083361	-0.00396435137916403	-0.0039615749262258	-0.00392613450892616
7	TRINITY-DN10077-c1-g1-i10.mrna1	0.0175784086784285	0.0982018478990642	-0.0401586938941446	-0.0251867507807348	-0.0460396925893782	-0.0385207358415796	-0.0237175607976821	0.0444378509109168	-0.0442085132587293	-0.0112964529620759	-0.0433031007828774	-0.0432066276145967	-0.0431767750145192	0.199632497997734
8	TRINITY-DN10079-c0-g1-i1.mrna1	-0.00608124277869997	-0.00578266078267264	-0.00561248634159583	-0.0055947123368354	-0.00557288381931453	0.0439860999750909	0.00822129485830296	-0.00550253894478759	-0.00534823229113564	-0.00532574510603581	-0.00523724747356523	-0.00522542546368308	-0.00522176740847587	-0.00517507346077971
9	TRINITY-DN10079-c0-g1-i2.mrna1	0.00220586576761454	-0.00680815210601591	-0.00660786815121613	0.00634060059891553	-0.00656125802711515	-0.0065579927342405	0.0112697392384204	-0.00647846518335617	0.0144324873602242	0.0153565040313313	-0.00616622228534408	0.00550837681348074	-0.00614800223624913	-0.00609304321253522
10	TRINITY-DN10086-c0-g2-i2.mrna2	-0.0520967681708448	-0.0368341232162363	0.287692960054692	-0.0208730419536094	-0.0429591748594092	-0.0477813555566943	-0.0203075714083887	-0.0472100165091858	0.0031953500542445	-0.04089563320247	-0.0449649264100885	-0.0448648081884288	0.0932309874071201	-0.0218622474230237
11	TRINITY-DN10092-c1-g4-i1.mrna1	0.0251574796638645	-0.00731553442807993	-0.00710036086992212	-0.00707788650949619	0.0139845872412761	-0.00431297381915542	-0.00704560866513809	-0.00696133658516319	-0.00676621698795358	-0.0067377816515331	-0.00662587411198455	-0.0066109247379817	-0.0066062989836837	-0.00654725238264617
12	TRINITY-DN10112-c0-g1-i6.mrna1	-0.00158539852504007	0.00269253921121141	0.00572218459821217	-0.00145837668206774	0.00188801852198031	-0.00145195427935723	-0.00145171303191153	-0.00143431590797064	-0.00139403852322365	-0.00138816914575276	-0.00136507104594649	-0.00136198555156008	-0.00136103081846749	-0.00134884410184969
13	TRINITY-DN10115-c0-g1-i1.mrna1	-0.00374716429937767	0.000187777267684566	-0.00499642080070359	-0.00498059442833069	-0.00191746746960368	0.0227404271418289	0.0013395981276376	-0.00489852151600885	-0.00476112527159262	0.00321095726252611	-0.00466230423499176	-0.00465177794998095	0.0122958100446004	-0.00460694477127942
14	TRINITY-DN10134-c2-g1-i2.mrna2	-0.00452158650985479	0.00804593516370644	-0.00417287820804359	-0.00415965668216779	-0.00414341918822482	0.0214044591806184	-0.00414066797627135	-0.00409109244972715	-0.00397631219116573	-0.00395958546974411	-0.00389375861536066	0.0124061441465471	-0.00388224424424077	-0.00384751257665358
15	TRINITY-DN10138-c0-g1-i9.mrna2	0.0258025727957915	-0.0386277658177224	0.0148054571499674	-0.00704329812972247	-0.0312837909343038	0.0529268948770416	0.01339613673547	0.0734829006320971	-0.0459016473269228	-0.0457113237731156	-0.0449620961114037	-0.044861984094169	-0.0448310054396671	-0.0444355209123517
16	TRINITY-DN10155-c0-g1-i2.mrna1	-0.00049716492382614	-0.000472709755058237	-0.000458773804296548	-0.000457318339887976	0.00293902270378196	-0.000455303704609002	-9.81779627093937e-05	-0.00044977077814875	-0.000437136463279394	0.00225864363138404	-0.000428050019280048	-0.000427082176691231	-0.000426782701033723	-0.000422960047779424
17	TRINITY-DN10155-c0-g2-i3.mrna1	0.00686952793537049	0.297972985724609	-0.175108648411293	0.146263930829606	-0.23429532432681	0.111811758246649	-0.127473755660995	0.198622596908901	-0.187299421894113	-0.121573720771991	-0.222403752170812	-0.165010759637336	-0.313505379426566	0.0070058593930013
18	TRINITY-DN10157-c0-g1-i6.mrna1	0.00676211995659936	-0.00363922111191485	0.00441559885018396	-0.0072073665989507	-0.00518202330419367	0.00953374868851026	-0.00717449974330972	0.0101817852714513	-0.00689000912117297	-0.00686105477871857	0.0090801670936895	-0.00673188232682098	-0.00672717213401537	-0.00666704767224788
19	TRINITY-DN10157-c0-g1-i7.mrna1	-0.00145310355432991	-0.00138164899322588	0.00690328104493317	-0.00133667625081989	-0.0013314533611166	-0.00133078954560642	-0.00133056842083644	-0.0013146224154445	-0.00127770468549605	0.00771848435841381	-0.00125115352361279	0.0035058243437939	-0.00124745031430491	-0.00123628016572433
20	TRINITY-DN10182-c0-g2-i1.mrna1	0.00234425148553692	-0.00911563437055668	-0.0109908156899538	0.00824972288667136	-0.0109134061613938	0.0116504071011656	0.0435733833723607	-0.0107759007359966	-0.0104742500526815	-0.0104302877769872	-0.0102572692234455	-0.0102341556675764	-0.0102270036606415	-0.0101357089738938
21	TRINITY-DN10191-c0-g1-i6.mrna1	-0.00356034638701267	-0.00338539228005091	-0.00328568528148543	-0.00327527158566548	-0.00326248244485357	0.00219991937960841	-0.000947967063317148	0.0301518482273072	-0.00313086570134147	-0.00311769158623883	-0.00306584608317908	-0.0030589203699521	-0.00305677736844119	-0.00302942281210707
22	TRINITY-DN10191-c0-g1-i9.mrna1	0.0358098376459036	-0.0136081403865552	0.00153452160750134	-0.0131670055280197	-0.0131157666730071	-0.0131092542325775	0.0267502006148548	-0.0129506365413475	-0.0125883734512156	-0.0125355763118275	-0.0123277840034539	-0.0123000246409625	0.0111235887793166	-0.0121817892377279
23	TRINITY-DN10208-c2-g1-i3.mrna1	0.0579851798688058	-0.0116211151263381	-0.0147695638469066	-0.0147229381481592	-0.0146656751637181	-0.0146583970414329	0.00205804955506568	-0.0144811291287315	-0.0140762626564779	-0.0140172553940969	0.00484457577235771	0.0194387351771738	-0.0137443943833298	-0.0136218485028635
24	TRINITY-DN10232-c0-g1-i3.mrna2	-0.00198340931208364	-0.00359997583654095	-0.000728156830694266	-0.00348288354867073	-0.00346928470783142	-0.00346755632536196	-0.00346698058050774	0.0344826683733954	-0.00332933466391671	-0.00331532638658168	-0.0032601980370822	-0.0032528337796402	-0.00325055508032847	-0.00322146837706065
25	TRINITY-DN10238-c0-g2-i1.mrna1	0.00189252833859301	-0.00246642232768888	-0.00239375849713077	-0.0023861693488609	-0.00237684907718753	-0.00237566449333676	0.0171087363148559	-0.00234681399398166	-0.00228093277036847	-0.00227133220411076	-0.00223355030066347	-0.0022285032827497	-0.00222694160131162	-0.00220700741825365
26	TRINITY-DN10244-c0-g1-i4.mrna1	-0.00221908839541591	-0.00708324368786004	-0.00687488628541241	-0.00685312391283062	-0.0068263971396216	0.0613305280398845	-0.00682186864952357	-0.0067402664629222	-0.00655132919048153	-0.00652379488950996	-0.00641543355063836	-0.00640095792252779	-0.00639647875941754	-0.00633930339835103
27	TRINITY-DN10251-c0-g2-i2.mrna1	-0.0775743282159031	-0.0561302972377432	-0.0779612566688665	0.355464273505095	-0.0796391637785056	0.131104887927697	-0.0742932901481202	-0.0170493647251942	0.0334934256469988	-0.0722236394933794	-0.0798776643976309	-0.0797019291081906	-0.0796475477281186	0.0148102798437005
28	TRINITY-DN1028-c0-g1-i3.mrna1	0.37170564506067	-0.133408146698831	-0.107258173734452	-0.140639456212532	-0.139820620511784	-0.152823846687996	-0.0614385447090143	-0.155865835647869	-0.151709087247259	-0.0509763328863553	-0.148712206042602	0.301565811963957	-0.120901093892956	0.969541839197956
29	TRINITY-DN10291-c0-g1-i9.mrna1	0.065828678094058	-0.015704709221247	-0.0111110228880375	-0.0122726108832712	-0.0188769344076358	-0.019067403498078	-0.0058277948143469	-0.0046938232331553	-0.0254345133535972	-0.0224904095080654	0.00541967727101742	0.0110536197431424	-0.019162495469715	0.0252684496244051
30	TRINITY-DN10311-c0-g1-i7.mrna1	0.014580727500307	-0.00531073669360444	0.0139715614733533	-0.00526243724103457	-0.000965893511902398	-0.0216908345001652	0.018764520072518	0.00712980022798836	-0.022338450553602	0.00559744659172086	-0.00493818571244854	-0.0218284503144217	-0.021813256803583	-0.0216193056453961
31	TRINITY-DN10311-c0-g2-i3.mrna1	-0.00614203352062606	-0.0340180400815371	0.0184969816400599	-0.0223518057423396	-0.0275531128052737	0.00395041605162073	0.0492362957945491	0.0357140068494458	0.0864519407773961	-0.0253148291599732	-0.0328373908905315	-0.0286576926464181	-0.0327412506132172	-0.0324512212653086
32	TRINITY-DN10316-c0-g1-i2.mrna1	0.0163799937587981	0.117011856852137	-0.0316324808286329	-0.0107153217513589	-0.0483548680781002	-0.0128570734584577	-0.04463920605403	-0.0121769304929946	-0.0158474955738457	0.0196070410761029	-0.0454828205483068	0.0266091113935753	-0.0453502353978539	-0.044950241378702
33	TRINITY-DN10330-c0-g1-i7.mrna1	0.0167906923487557	0.00484488929474282	0.0141272091989705	-0.00917725665547433	-0.00709027276101908	-0.00366982498085002	-0.00853881334988796	-0.00902624489318972	0.00184204287312281	-0.00873657845700234	-0.00859157171412483	-0.00857220047041204	-0.0085662064539629	-0.00848969382806136
34	TRINITY-DN10330-c1-g1-i1.mrna2	0.0135151564587894	0.0638920692436386	-0.0230034525964863	-0.0493811717712313	-0.0360990471469975	0.0430213637886692	0.0169444334076593	0.045302319820068	-0.0432362323561521	-0.0408643496804814	-0.0517992641990721	-0.0516841994858576	-0.0420393433114247	-0.0250914255434788
35	TRINITY-DN10335-c0-g1-i1.mrna1	-0.0036148736311894	0.0115582809086063	0.00332075624492328	-0.00332543789609433	-0.000148234808004314	-0.00331080275354177	-0.00260559236766668	-0.00327060863243614	-0.00317882262789254	-0.00316544694003819	0.0156335450577863	-0.00310577646216063	-0.00224855179667486	-0.00307582754655292
36	TRINITY-DN10342-c0-g1-i1.mrna1	-0.00833429124134313	0.0236817016426702	0.0317107951772424	-0.00832933403170594	-0.00523147621735836	-0.00829274010237117	-0.00829136549411981	-0.00819223525519767	-0.00796270985917781	-0.00792926001038862	0.00423625467461314	-0.00778003072788314	-0.0077745891360672	-0.00770512830205006
37	TRINITY-DN10343-c0-g1-i1.mrna1	0.0210746757256651	-0.00497375687951972	-0.00482734737581077	-0.00481205565792849	0.000734542329633371	-0.00479088881498816	-0.00331124322633944	-0.0047327554650072	-0.00460000130310681	-0.00458065513887937	-0.00450451930750933	-0.00449434870571635	-0.00363617413089717	0.00555785978521719
38	TRINITY-DN10346-c0-g1-i1.mrna1	0.00426624486730021	0.00689125502045234	-0.00528557003102327	0.00440583399146282	0.00999275798843149	-0.00661839654075686	-0.00661729883629043	-0.00653813814278044	-0.00635485428508211	0.00845383964393479	-0.00622302538289843	-0.00620898296631851	-0.00620463785179355	-0.0061491736217929
39	TRINITY-DN10346-c0-g1-i16.mrna1	0.0107111830725458	-0.0068325697630906	-0.00663156913314219	-0.00661057521486221	0.0127347001053201	-0.00658151523166387	-0.00658042363026461	-0.00650170307014147	0.0344809117703355	-0.00454442706553857	-0.00618834257502211	-0.00617437825373464	-0.00617005730422001	-0.00611490154050038
40	TRINITY-DN10346-c0-g1-i18.mrna1	0.00942782656375595	0.00122842078036021	-0.00220047543812137	-0.00219349860681511	-0.00218493032877724	-0.00218384132180752	-0.00218347856067981	-0.00215731861641443	-0.00209675316017991	-0.00208792725476606	-0.00205319398431307	-0.00204855421732867	-0.00204711855041367	-0.00202879289885081
41	TRINITY-DN10346-c0-g1-i5.mrna1	0.0134976773851126	-0.00663152982488695	0.0125493043741602	-0.00641605267790411	-0.00639102668342922	-0.00377696870987449	-0.00638678637019862	-0.0063103771992168	0.00945992325439479	-0.00610768281797134	0.0102181906791598	-0.00599266459054777	-0.00598847054402438	-0.0059349346954194
42	TRINITY-DN10346-c1-g1-i1.mrna1	0.0372730854535339	-0.00583140410597646	-0.0116795885230958	-0.0116426781750632	-0.0115973473621252	-0.0115915858450595	0.0195121171474037	-0.0114512586491308	-0.011130775448706	0.00142282548280689	-0.0109002455847024	-0.0108756886107214	-0.0108680899632325	-0.0107710937457154
