gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10	cell_cluster_11	cell_cluster_12
1	Hvul-g10-1	-0.00109283998279595	-0.0015344058538451	-0.00150440639972626	-0.00139274973752819	-0.00134282375480058	-0.00133328884510954	0.0137788859832255	0.00365139788334292	0.00667794981541755	-0.00129326478609509	-0.00128946654402042	-0.00128813130918905	-0.00128491587946247
2	Hvul-g10012-1	-0.000748995286813391	-0.000982999002956194	-0.000963776605903417	-0.00089223294275121	-0.000289951025548764	-0.000854134370403749	-0.00084784801902263	-0.000846084922130455	-0.000835585400913628	0.0281837961319251	-0.000826056324989747	-0.000825200811415452	-0.000823140617841789
3	Hvul-g10014-1	-0.438763842255844	0.482406063877516	-0.366624379664378	0.100156650876753	-0.340933449120767	0.794894103106991	-0.122938353100484	-0.27378668589789	0.363887446587624	0.168061214160927	-0.100263038894726	-0.162112461649	-0.00922808772092232
4	Hvul-g10016-1	-0.404391047059035	-0.378618066164657	-0.325124053831596	0.624451735767135	0.727892687497119	-0.329702915529788	0.962208803026254	0.393794872897244	-0.340814797967526	-0.335602795579688	-0.252189951751161	0.299589265992449	-0.293762427135268
5	Hvul-g10017-1	-0.265629086359265	0.823305220409861	-0.0598625718161079	-0.300941711661566	-0.633697631563396	-0.477213697141774	-0.853411315563229	0.975051543608319	-0.307787692410292	-0.703607193749142	0.198094025874784	-0.942157776748109	-0.667697825527418
6	Hvul-g10018-1	0.566648293960342	-0.425099533690669	0.580226623313211	-1.40312758749358	0.653765488837589	-1.00145573502194	-0.239710833176432	-0.603857761049701	-0.329226470479687	-0.383807041229976	-1.84516408227218	0.248382369184723	-0.218376171669571
7	Hvul-g1002-1	0.0389123478978536	-0.011782636028148	-0.0988901384245461	-0.0661576875455149	-0.0866557686132045	0.0633076312221353	-0.0803945559342701	0.0338986661847018	0.209638928626711	-0.0388268570342855	0.518321286102747	-0.070164338767657	-0.0787900378806147
8	Hvul-g10020-1	0.14484424334864	-0.0506958263687902	-0.0459798406640313	-0.0360953130823286	-0.0409028714951487	-0.0358215537572402	-0.0438284469543626	-0.0417482932364742	-0.0432037621807036	-0.0428421827103737	-0.0427181469018508	0.0867600696736938	-0.0402207450729769
9	Hvul-g10022-1	-0.170576405569023	0.098535676950429	0.00483049803910468	0.025258624276576	0.0776565222588887	-0.195231306664144	0.131344923456665	0.158758257781261	-0.116299106163889	0.0812960311172762	0.387292425071404	-0.0877659216204731	-0.157380390600189
10	Hvul-g10023-1	-0.22791645509001	-0.177082469613221	0.0889588986930543	0.145300450853913	0.721692603818762	-0.157897166613468	0.175463314264777	-0.199965418884127	0.0743886863874462	-0.0229891278745235	-0.191825596614892	-0.127045773658256	-0.0466675888220929
