gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10
1	NVE10035	0.25338482269039	-0.270505560862582	-0.336895330403098	0.399925186793883	0.747553066245971	-0.0344370341362351	-0.812811326774382	-0.851088784998932	-0.372964431113751	-0.721985588085967	-0.648758689397961
2	NVE10051	-2.67746609043628	-0.868792279841357	3.02461505153523	-1.0773361883212	0.0229670713712666	-1.54195478244715	-1.59856897393015	-2.79920893801952	-0.905072487320303	-2.59272206802162	-2.79394749449707
3	NVE10098	1.07121040739469	-0.837030386385351	-0.970585122688384	-0.411813931048596	0.515019506718987	-0.783335116195569	-0.117613012594552	-0.344066843578217	0.284600037440429	0.446166371361659	-0.311862608277543
4	NVE10245	0.806977034926194	-0.750130849761245	0.278985419181934	-1.97240525029598	-0.0928488523528372	0.701392519553996	-1.03572820710362	-1.37192866563221	-1.99519912885062	-1.19168994606776	-0.317081095827289
5	NVE10250	-0.0451223378703083	0.0701372073346683	-0.0533182602729134	0.159207186697633	-0.019534600697444	-0.0451657985310977	-0.0451686152939853	-0.043988761081963	-0.0445058133919066	-0.044308340661996	-0.0442856420823621
6	NVE1028	-0.139005008020936	-0.129598145687355	-0.105677894594936	0.914082709843488	-0.103168398156118	-0.0638004339784695	-0.074061164257468	0.0897415734108295	-0.122657516946958	-0.120873227321401	0.0310214687131161
7	NVE10323	-0.180899394270406	-0.0440579138046417	-0.164661136890922	1.10477915154226	-0.200366589618082	-0.1769951277816	-0.190418021641323	-0.192291763793228	-0.192653812710983	-0.1909932148431	-0.191098360755563
8	NVE10359	-0.513359125060627	-0.0205090244929684	-0.854344199708872	-0.228826983505382	-0.805081196549634	-0.650530295854779	3.49186203144523	-0.22532652084666	-0.977350870760647	0.858654427371932	-0.866401471871242
9	NVE1038	0.238088702161857	-0.566249494847232	0.556921680832783	-0.345656731331184	0.0151757904549111	-0.346390815827536	-0.500270681922241	-0.449457507546163	-0.186813811757258	-0.473883994912094	-0.145951950815345
10	NVE1048	0.274949773507104	-0.204970526884642	-0.164768403114204	0.0367497649475759	-0.110344709453853	0.0130276073204881	0.189622502000635	-0.11591303267608	-0.0671866094816951	-0.133499781837092	0.0156228106641044
11	NVE10492	0.135270128154217	-0.129167647190713	-0.102275886985525	0.133703414171619	-0.0593817430747074	-0.0476227181097456	-0.125205692667503	-0.0224451077734683	-0.146886230852221	0.699909139292628	0.0126497891465131
12	NVE10515	-0.0142122582195628	-0.0127385595115745	-0.0126912697989624	-0.0247441557957209	0.146581240521429	0.0687465203662613	-0.023110249657971	-0.0229415210177568	-0.0229356795966404	-0.0227541433623823	-0.0227541433623823
13	NVE10523	0.0874419705394595	-0.0076742480607086	-0.0321742249422834	-0.371959864111879	0.0145943190221088	0.0295707721200222	0.396907052639244	-0.216179079769467	0.0976602609444882	-0.341815142790913	0.0663926954168638
14	NVE10584	-0.116663666536485	-0.0769677985011646	-0.0952662227600949	-0.0886531274640457	0.901746272244414	-0.114237991823185	-0.109563297906191	0.121200817100216	-0.10859103008997	-0.107773356259872	-0.107756293404802
15	NVE10633	2.2985509107034	-2.76205992071413	-2.38443415686903	0.3189697057996	-2.36438834537806	-0.470736707250754	-0.475481689149849	1.24114718036646	-2.78029498970561	-0.273149978870024	0.220444461333889
16	NVE10634	2.12693912747392	-2.08767183405813	-2.09678563641693	0.255299862996522	-1.12020434247872	-0.15388371344415	-0.416330688287622	-0.715742726710723	-1.30653914509684	0.0731050652553611	-0.187054656907176
