gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10	cell_cluster_11
1	AM1-000006	0.05148598033923	0.144843158757068	0.141054523916702	-0.161250945876201	0.0827079581067647	-0.0112673256351092	0.0510558723064948	-0.0282938344952259	-0.52345533682307	-0.20383506761701	-0.231649300189738	-0.0826668919882397
2	AM1-000007	0.0198650532072977	0.0302909155751546	0.00475296025706101	-0.0314651684642882	0.0469014770267984	0.0398979565419898	-0.0924332526192727	0.0827314399731083	-0.158185569151932	-0.119916457385944	-0.0436075725240845	0.0817303856196972
3	AM1-000008	-0.00546608159111228	-0.0516117694527803	0.00983999414905259	-0.0591531178549048	-0.0098712853239433	-0.00910983138211566	0.208939423998135	0.0141411419368262	-0.0427566777635493	0.0129704990294189	0.122541692997546	-0.0451484586982787
4	AM1-000009	0.0258221879289145	0.0354854256000622	-0.0306103725127308	-0.164399271258403	0.0621097037336369	0.128134297364576	0.321498050273127	-0.10515790216384	-0.375467638204249	-0.236869014708646	0.120368413916254	0.0403049963013564
5	AM1-000010	-0.0185242483354546	-0.020056112318288	-0.0238890531500802	-0.455499716707687	0.0532824493700537	0.210799138710903	1.14151901078067	-0.110725743083569	-0.503399251066499	-0.475154694933935	-0.0746743540437447	-0.394573092936777
6	AM1-000011	0.0344343806932668	0.010579457470084	0.00558064738324415	-0.0285904606241162	-0.0142552981726684	-0.0255825632685727	-0.0226404660712738	0.0258122435980298	-0.0276715050895944	-0.036299262565086	-0.0162095759340936	-7.85664479568543e-05
7	AM1-000012	-0.10215105277979	0.155426051796956	0.615109373761523	-0.463554909604805	0.139291132620314	-0.0866388444736912	0.378657584921535	-0.159410884029278	-0.990852676754559	-0.882731385707082	-0.0270680112028918	0.172952889968931
8	AM1-000013	0.000406101499216424	0.0553579967913816	0.0469611540813526	-0.0631022608206099	0.0233016002716086	-0.0165643491436691	-0.0174389012809391	0.0168208470608088	-0.0735648012407252	-0.0688762944433969	-0.0392202000984839	-0.0126077532660585
9	AM1-000014	0.0778107471390164	0.019778756116844	-0.101697745311438	-0.102710875051729	-0.0328235978876283	0.101546062095769	0.237929514980952	0.00318925970579581	-0.308537220022617	-0.140072152557149	0.0935250550278197	-0.0494680034037459
10	AM1-000015	-0.343101386350306	-0.324982493026976	-0.409252275712509	0.495285578953747	-0.320177648734371	-0.376519873680037	-0.314308619023178	-0.230768164195948	1.35253975322755	1.24017161682423	-0.376913702000745	-0.235298088466738
11	AM1-000016	0.206142473777877	-0.0700005349097219	-0.0913637648350021	-0.153021473229477	0.176759932014971	-0.114694641262596	-0.112031632754355	0.24065785202631	-0.142453548087156	-0.15490375124037	-0.111428638315688	-0.152807545533263
